,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
100,Fiel,"Los Legendarios",1114360,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
101,"Goosebumps - Remix","Travis Scott",1111529,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
102,BED,"Joel Corry",1110838,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
103,"Iko Iko (My Bestie)","Justin Wellington",1110234,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
104,telepatía,"Kali Uchis",1109984,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
105,"Wants and Needs (feat. Lil Baby)",Drake,1099734,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
106,Levitating,"Dua Lipa",1095858,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
107,"Botella Tras Botella","Gera MX",1095132,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
108,"WITHOUT YOU","The Kid LAROI",1087910,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
109,Arcade,"Duncan Laurence",1056842,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
110,positions,"Ariana Grande",1050649,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
111,Circles,"Post Malone",1044646,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
112,Fulanito,"Becky G",1041351,https://open.spotify.com/track/59L8x0xy8njj75vzVCPMqg
113,"Bezos I","Bo Burnham",1040485,https://open.spotify.com/track/0Kdj7nwaYQmvhxnqZaIQuW
114,512,Mora,1022334,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
115,"double take",dhruv,1016737,https://open.spotify.com/track/2CVChktEKBsM6v4IfdFU5k
116,"lovely (with Khalid)","Billie Eilish",1008727,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
117,"Blaues Licht","RAF Camora",997526,https://open.spotify.com/track/08EPQiLMyGB8GJX2EiVoCM
